fold,username,clean_text,label_manual,label_prediksi_kfold,buzzer_prob_kfold,label_manual_text,label_prediksi_text,kesimpulan
1,BosRQ_,igrs rating game lokal itu wajar byk negara jg punya tujuannya lindungi anak bantu orang tua jd panduan masalahnya di penerapan igrs ada game besar dianggap tidak layak edar sementara yang lain ratingnya tidak konsisten jd yang perlu dibenahi aturan teknisnya bukan idenya,0,0,0.1031,Organik,Organik,Benar
1,meimeiajadeh,block aja igrs cuy report,0,0,0.0014,Organik,Organik,Benar
1,Ioroiisme,tujuannya ya dua hal menekan developer publisher ini potensi cuan pasif yang memungkinkan ada aspek yang diatur di bawah meja juga menekan player igrs bisa digunakan mengontrol dua hal itu berarti masuk ke fase selanjutnya untuk membatasi gerak opini dalam platform,0,0,0.0015,Organik,Organik,Benar
1,masgah_,konsep rating nasional seperti igrs ada bagusnya bantu orang tua kasih batas umur jadi aturan developer masalahnya di penerapan igrs ada game besar kena status tidak jelas sementara yang lain ratingnya membingungkan ini tanda regulasi perlu diperbaiki bkn cuma dibilang jelek,0,0,0.0463,Organik,Organik,Benar
1,stamped_e,dulu pernah mirip kominpo blokir steam google paypal dll tidak lama dia divonis terbukti korupsi mana ngerti kejadian serupa terulang lagi sekarang gara igrs,0,0,0.002,Organik,Organik,Benar
1,ayoitsmoy,sedikit meluruskan ya rating igrs yang muncul di steam sekarang bnyk yang masih bersifat data awal self declare dari developer jadi belum semuanya final memang masih tahap penyesuaian sambil dirapikan,1,1,0.9986,Buzzer,Buzzer,Benar
1,Alizazaina94321,sedang ramai dibahas soal igrs dan sistem rating game di steam ada penjelasan resmi yang bisa dibaca dulu supaya informasinya lebih lengkap,1,1,0.9973,Buzzer,Buzzer,Benar
1,noviarguna72100,igrs di steam sekarang banyak yang masih data awal self declare dan belum final sekaligus mengingatkan bahwa niat utamanya adalah melindungi pemain muda dan menata ekosistem game sehingga wajar kalau di fase awal masih ada hal yang perlu disesuaikan dan diperjelas bersama,1,1,0.9928,Buzzer,Buzzer,Benar
1,fraviato,tapi lebih baik coba dengar pendapat dari temen developer game lokal juga pak biar ada sisi soal igrs ini,0,0,0.0153,Organik,Organik,Benar
1,martedws,fak igrs mengapa the sims kena anj apasih,0,0,0.0677,Organik,Organik,Benar
1,asep2b,diskusi soal igrs dan rating game di steam lagi ramai tapi ada baiknya lihat dulu siaran pers resminya biar lebih lengkap bisa dibaca di sini,1,1,0.9941,Buzzer,Buzzer,Benar
1,Deewwiiiii,dari sisi pengguna sistem rating igrs di steam sekarang masih terasa kurang jelas tapi kalau ini bagian dari proses semoga ada evaluasi dan penyempurnaan yang konsisten,1,1,0.9491,Buzzer,Buzzer,Benar
1,stristy_,igrs is that sounds like a great idea with the best of intentions what could possibly go wrong rating system should act as a guide and give info to the consumer about the content and can t block distributions but even as a guide it fails to do so miserably,0,0,0.003,Organik,Organik,Benar
1,Serenz0_,igrs aja pake buzzer segala kamu goblok,0,1,0.6374,Organik,Buzzer,Salah
1,b0nnysidharta,tetap mendengarkan musiksetan walopun igrs kek kontol,0,0,0.0013,Organik,Organik,Benar
1,NganjukSun23590,rating igrs di steam saat ini masih banyak yang tahap awal self declare jadi belum final tujuannya untuk melindungi pemain muda dan menata ekosistem game jadi wajar kalau di fase awal masih ada yang perlu disesuaikan dan diperjelas bersama,1,1,0.9972,Buzzer,Buzzer,Benar
1,goldensunfyre,halaaah seperti yang punya dan pernah pake steam aja kamu buzzer coba main dulu aja ke steam nya igrs nya yang ngablu malah nyalahin steam di steam gamenya sudah ditag sexual content sama igrs dikasih rating meanwhile upin ipin dikasih rating lawak,0,0,0.0081,Organik,Organik,Benar
1,jamal8204,igrs nya woy dibenerin game yang ada unsur dewasa masa dikasih rating logikanya dimana kalau sistem ratingnya aja ngelawak kek gitu ngapain di kasih rating aneh,0,0,0.3058,Organik,Organik,Benar
1,feelingfluky,ts got rated not fit for distribution by igrs lmao,0,0,0.0048,Organik,Organik,Benar
1,rpramestaa12,biar tidak salah paham sebenarnya wajar kok kalau di awal fase rilis gini masih banyak rating yang belum pas di steam dari rilis resminya data yang muncul sekarang itu sebagian besar masih self declare dari sistem internal jadi belum melalui proses verifikasi resmi dari igrs,1,1,0.9765,Buzzer,Buzzer,Benar
1,AHROOMEE,jadi antara pihak game tidak jujur atau rating igrs belum mengakomodasi kerumitan rating ini jadi jangan langsung nyalahin steam kali,0,0,0.0858,Organik,Organik,Benar
1,neitee,steam melakukan rating palsu trus uang pajak kita yang masuk buat igrs buat apa dong bubarin aja tidak sih alias tidak guna punya kompetensi apa di bidang game stafsus komdigi ini,1,0,0.0889,Buzzer,Organik,Salah
1,jeki_the_pirate,thank you gaben for removing igrs from steam like why should we need another game rating,0,0,0.0092,Organik,Organik,Benar
1,dvtrhx,betul saya setuju game membuat kecanduan dan mempengaruhi perilaku anak tapi paham tidak pak kalau rating igrs di steam ini tidak efektif baca data lagi sih pak saran saya anak anak jaman sekarang main game di platform mana aja sehingga lebih tepat sasaran,0,0,0.0654,Organik,Organik,Benar
1,MRidhonew16179,kalau mau lihat penjelasan yang lebih lengkap siaran pers resmi terkait igrs rating game di steam bisa dibaca dulu lewat link berikut ya,1,1,0.9966,Buzzer,Buzzer,Benar
1,Alizazaina94321,jujur tampilan rating igrs di steam saat ini memang cukup membingungkan bagi banyak pengguna tapi karena masih tahap penyesuaian mungkin perlu waktu yang penting ke depan penjelasannya lebih rutin dan transparan,1,1,0.9962,Buzzer,Buzzer,Benar
1,SidikHamdani96,kalau menurut saya sih rating igrs di steam sekarang banyak yang masih data jadi masih belum sepenuhnya valid,1,1,0.9676,Buzzer,Buzzer,Benar
1,its_arleigh,dia kira steam mau inisiatif sendiri nerapin igrs,0,0,0.0014,Organik,Organik,Benar
1,imamanbru,igrs itu bagaimana deh mereka rate berdasar apa,0,0,0.001,Organik,Organik,Benar
1,eepytome,igrs haters ea keknya,0,0,0.0012,Organik,Organik,Benar
1,EndiD21883,jujur saja tampilan rating igrs di steam sekarang memang bikin banyak orang bingung tapi karena ini masih fase penyesuaian mungkin yang paling penting sekarang adalah penjelasan rutin transparansi kriteria dan perbaikan bertahap supaya publik bisa ikut memahami prosesnya,1,1,0.9967,Buzzer,Buzzer,Benar
1,ParkBowie,heh anda ini ya suruh yang buat igrs itu di hapus sumpah tidak guna ya di steam dah ada ratingnya lebih akurat dan teliti dari pada igrs yang tidak berguna dah sistem igrs belum siap roll out kena backlash malah salahin steam kan goblok parah tidak usah malu in hapusigrs,0,0,0.2674,Organik,Organik,Benar
1,andybalala19,rating igrs di steam sekarang banyak yang masih data awal self declare dan itu belum final itu mengingatkan kita untuk melindungi pemain muda agar tidak terjerumus hal hal yang tidak baik tolong diperbaiki lagi igrs sistemnya agar lebih stabil,1,1,0.9985,Buzzer,Buzzer,Benar
1,dieformealice,igrs kontol ngentot kamu,0,0,0.0788,Organik,Organik,Benar
1,arsiamalia,informasi resmi terkait sistem igrs dan rating game di steam sudah dirilis yuk baca dulu isinya supaya pandangannya jadi lebih jelas,1,1,0.9899,Buzzer,Buzzer,Benar
1,noviarguna72100,sedikit klarifikasi rating igrs yang kelihatan di steam itu banyak yang masih data awal self declare belum final wajar kalau sekarang ada yang belum pas lagi proses disesuaikan dulu,1,1,0.9971,Buzzer,Buzzer,Benar
1,ahmedfahrizal_,igrs dari komdongo benerin wir,0,0,0.0532,Organik,Organik,Benar
2,rinimaulida008,buat yang lagi mengikuti isu igrs dan rating game di steam ini ada siaran pers resmi yang menjelaskan konteksnya bisa dibaca dulu biar dapat gambaran yang lebih utuh,1,1,0.9949,Buzzer,Buzzer,Benar
2,Raaaxer,ya allah igrs ada buzzernya,0,0,0.0215,Organik,Organik,Benar
2,rvbaharktik,isi rilis statement kemkomdigi kesannya lempar tanggung jawab ke steam trus ngapain ada igrs ohh dan satu lagi statement rilis kalian jelek sekelas kementrian itu tidak ada training public speaking ya,0,0,0.0024,Organik,Organik,Benar
2,99propaganda,indonesia game rating system igrs diimplementasikan pada platform seperti steam dengan tujuan utama untuk memberikan panduan yang jelas bagi konsumen mengenai kesesuaian konten game dengan usia pengguna hal ini merupakan bagian dari regulasi pemerintah indonesia untuk,1,1,0.7885,Buzzer,Buzzer,Benar
2,ValentinoJ15345,masa kita s nge sama mobil kan aneh sakit emang igrs,0,0,0.0023,Organik,Organik,Benar
2,Indie_S_Orilly,pak yang keberatan itu rakyat indonesia bukan platform steamnya kalau steam keberatan dari awal kita tidak bakalan sempat liat rating igrs ini muncul di game yang dijual di platform mereka sepertinya ada upaya manipulasi informasi dari komdigi supaya bapak berkesimpulan salah,0,0,0.1281,Organik,Organik,Benar
2,hosjou,camkan igrs jangan ngasal ya saya bergekut di dunia game development juga tp juga mainin game di luar sana kalau sampe salah rating tidak cuma saya ini orang di tanah air bakal turun tangan,0,0,0.006,Organik,Organik,Benar
2,SidikHamdani96,kalau menurut saya sih rating igrs di steam sekarang banyak yang masih data jadi masih belum sepenuhnya valid,1,1,0.9781,Buzzer,Buzzer,Benar
2,R4ZESKY,igrs dongo banget anjir wkwkwk,0,0,0.0193,Organik,Organik,Benar
2,KumekaGenzo77,bro steam itu bkn platform jual game baru lahir mereka sudah paham bagaimana cara ngasih rating usia yang benar ini mh keliatan yang masukin sistem cuma dari pihak igrs doang sedangkan pihak steamnya gk tau,0,0,0.4923,Organik,Organik,Benar
2,MFRcapture,tidak usah jauh deh di x ini saja konten bokep masih bebas kok diakses menurut anda yang orang internal komdigi mengapa begitu apakah kalian hanya makan gaji buta sambil sekali bikin kebijakan kontroversial yang hanya keliaran wah d teori tapi bobrok d pelaksanaan seperti igrs,0,0,0.0087,Organik,Organik,Benar
2,IKKIttebayo,urgensi ada igrs ini apa ya padahal bisa pake esrb,0,0,0.0042,Organik,Organik,Benar
2,rpramestaa12,isu igrs rating game di steam lagi jadi perhatian dan sudah ada penjelasan resmi yang dirilis bisa jadi bahan pertimbangan sebelum beropini,1,1,0.9976,Buzzer,Buzzer,Benar
2,ShoNakanoVtuber,iya kemarin aku juga mikir gini karena kelihatannya igrs tidak punya sistem rating buat game yang harusnya tidak ada rating semacam rating pending di sistem lain jadi game yang belum isi bisa dapet biarpun isinya bermasalah,0,0,0.2404,Organik,Organik,Benar
2,pradeepk204,dear team no one is listening in your sub divisional office i have raised igrs complaints also please resolve this incorrect billing issue,0,0,0.0011,Organik,Organik,Benar
2,Andradeva001,indonesia gooning rating system igrs,0,0,0.0732,Organik,Organik,Benar
2,PPopurii,buat yang butuh referensi soal isu igrs dan rating di steam ini penjelasan resminya sudah dirilis mungkin baik dibaca dulu biar informasinya lebih lengkap,1,1,0.7296,Buzzer,Buzzer,Benar
2,Syarp29,sblm igrs pun adem ayem loh emang tolol aja terus evaluasi evaluasi uda pernah dibahas di tlm beberapa bulan lalu suruh dikaji lebih dalam pas uda diaplikasikan hasilnya nol,0,0,0.0029,Organik,Organik,Benar
2,enjzuu,igrs is so fucking stupid like how can those hentai games rate is and those totally normal game is,0,0,0.0117,Organik,Organik,Benar
2,eatalot23,ok disclaimer igrs ini saya gk dukung ya saya juga sangat bertentangan karena bukan nya sistem parentak controo tapi game nya diminta berubah siap siap gta vi indonesian edition tolol si tapi kalau fifa eafc gacha nya itu bahaya kamu pemain fut pasti paham banget,0,0,0.0037,Organik,Organik,Benar
2,tizaki09,with current igrs situation well damn i m a gamedev myself hahahahah so yeah the current situation is so fucked up and i m so fed up with the degradation of my country i love my country but i mostly hate the authorities and the ignorant shts,0,0,0.0041,Organik,Organik,Benar
2,hydarnus,oh gitu beraninya ngirim buzzer melindungi konsumen kok pake buzzer kalau emang sistem igrs kamu itu tidak benar ya benerin dulu kocak jangan milih buzzer buat benerin opini tolol anjing punya budget tapi tidak punya otak begini ini,0,0,0.0113,Organik,Organik,Benar
2,AkunNomerRandom,jangan bohong kamu kata mbak mbak igrs pasar kita besar lho,0,0,0.0013,Organik,Organik,Benar
2,makominato,connor shoot igrs theyre deleting yo shit,0,0,0.0016,Organik,Organik,Benar
2,langitsenayan,igrs ini saya rating sendiri meme steam igrs indonesiagameratingsystem gtasa,0,0,0.0034,Organik,Organik,Benar
2,KuroNoLace,coba cek situs igrs nya rating games nya normal aja,0,0,0.0021,Organik,Organik,Benar
2,allaamnaufal20,never put igrs on nintendo eshop playstation store and xbox microsoft store they re not ready yet,0,0,0.0018,Organik,Organik,Benar
2,swtpty,igrs ngaco banget anyingg,0,0,0.0274,Organik,Organik,Benar
2,_aridean,y allah crashing out banget saya gara gara igrs konyol dan skz bergantian,0,0,0.0016,Organik,Organik,Benar
2,bobbymenra,kalau lagi ngikutin diskusi soal rating game di steam dan igrs ada rilis resmi yang menjelaskan posisinya mungkin bisa dibaca dulu untuk melengkapi informasi,1,1,0.9929,Buzzer,Buzzer,Benar
2,kenjay_,saatnya main game rekomendasi negara igrs,0,0,0.0039,Organik,Organik,Benar
2,wongkongenekok,what do you think about igrs,0,0,0.0239,Organik,Organik,Benar
2,AlinGibroez,sedikit meluruskan ya rating igrs yang tampil di steam itu banyak yang masih tahap awal self declare dari developer jadi belum final memang lagi proses penyesuaian wajar kalau masih ada yang belum pas,1,1,0.989,Buzzer,Buzzer,Benar
2,carapaklek,sekadar meluruskan konteksnya rating yang kita lihat sekarang di steam itu belum hasil akhir karena masih fase awal penerapan igrs wajar kalau ada yang kelihatan belum pas karena memang tujuannya sedang merapikan ekosistem game nasional agar lebih terlindungi,1,1,0.9986,Buzzer,Buzzer,Benar
2,Ryand2727,josss banget dahhh sebelum debat soal igrs ke mana mana mungkin oke baca dulu siaran pers resminya di sini yaaaa gaissssss biarrr jelassss,1,1,0.6,Buzzer,Buzzer,Benar
2,MJRTiger123,kalau konsol bagaimana bro iya kali igrs juga kena,0,0,0.0018,Organik,Organik,Benar
2,kerissakti,teman saya hanya ingin mengingatkan mari fokus kritisi konteks kebijakannya jangan pribadi personilnya kasihan orang teknis igrs yang ditugaskan karena tidak sepenuhnya direction itu di tangan mereka jangan serang personil apalagi sampai ngulik pribadi orang ya,0,0,0.3487,Organik,Organik,Benar
2,mintozaki75,ini adalah link klarifikasi ttg rating igrs yang tampak di steam memang membingungkan mgkn tapi coba buka baca dan pahami tautan dibawah ini agar tidak ada salah pengertian,1,0,0.0986,Buzzer,Organik,Salah
2,Lipssszzz____,komdigi igrs tolol,0,0,0.4573,Organik,Organik,Benar
2,sikoom,kalau kejadian igrs ini aja tidak sampe bikin turun ke jalan dan protes gede gedean mereka bakal cuek ya bakal kena semua,0,0,0.0027,Organik,Organik,Benar
2,EmbyGarvail,sempat khawatir eh beneran ngaco kan igrs,0,0,0.0173,Organik,Organik,Benar
2,_________judd,nyoba cek website nya lakok buri gini logo igrs nya wkaowk sepele banget kamu ini,0,0,0.002,Organik,Organik,Benar
2,stelleturu,i m buying a game rated by igrs,0,0,0.0372,Organik,Organik,Benar
2,WibuPsikopatDes,komdigi anco igrs biadab,0,0,0.3941,Organik,Organik,Benar
2,Ginanadia67421,sedikit konteks saja rating igrs yang muncul di steam sekarang banyak yang masih deklarasi awal dari developer jadi kemungkinan masih akan disempurnakan karena tujuannya memang untuk panduan usia pemain,1,1,0.9939,Buzzer,Buzzer,Benar
2,rpramestaa12,igrs di steam itu sekarang masih banyak yang berbasis data awal self declare jadi belum final jadi wajar kalau masih ada penyesuaian apalagi tujuan utamanya kan buat lindungi pemain muda dan bikin ekosistem game lebih rapi,1,1,0.9983,Buzzer,Buzzer,Benar
2,boiebe,sudah dibilang kemarin pas penangkapan barbuknya malah komik miiko aja dah ketauan arahnya di mana sekarang malah igrs bikin ulah emang anjing aja satu rezim ini gila,0,0,0.0016,Organik,Organik,Benar
2,00w011,sia nyueun sistem kumaha igrs goblog steam tag geus jelas aya flagging jang sexual content sia bere tahun goblog lain,0,0,0.004,Organik,Organik,Benar
2,dvrtlngi,jujur aja tampilan rating igrs di steam sekarang emang masih bikin bingung buat banyak orang tapi kalau dilihat ini lagi fase penyesuaian jadi wajar belum rapi yang penting ke depan perlu update penjelasan yang rutin transparansi kriteria dan perbaikan terus biar makin jelas,1,1,0.9974,Buzzer,Buzzer,Benar
2,KvnBhgs,tbh once people know who s in the igrs shit their life would be fucking over,0,0,0.0014,Organik,Organik,Benar
2,DazzZulia,sejauh ini yang terlihat di steam katanya masih banyak yang berupa input awal self declare jadi belum hasil kurasi final dari igrs semoga nanti saat sudah final bisa lebih objektif dan sesuai dengan target usia pemain,1,1,0.7511,Buzzer,Buzzer,Benar
2,Kritzkrieg__,with whats happening to steam igrs we for real masuk surga jalur dizalimi pemerintah,0,0,0.0018,Organik,Organik,Benar
2,Reejanuari,penjelasan resmi terkait igrs dan sistem rating game di steam sudah dirilis dan bisa jadi rujukan yang lebih jelas sebaiknya dibaca dulu sebelum menarik kesimpulan lebih jauh,1,1,0.9921,Buzzer,Buzzer,Benar
